,0,n,e,r,s
bit,0.6954314720812182,0.005076142131979695,0.0,0.0,0.29949238578680204
ven,0.7469879518072289,0.2289156626506024,0.012048192771084338,0.0,0.012048192771084338
tuf,0.0,0.644808743169399,0.3551912568306011,0.0,0.0
ace,0.5068493150684932,0.0136986301369863,0.0,0.0,0.4794520547945205
eng,0.0,0.7395543175487466,0.2520891364902507,0.001392757660167131,0.006963788300835654
nar,0.0022935779816513763,0.4151376146788991,0.5711009174311926,0.0,0.011467889908256881
uhl,0.01639344262295082,0.21311475409836064,0.7622950819672131,0.0,0.00819672131147541
ost,0.004155844155844156,0.7605194805194805,0.006753246753246753,0.0015584415584415584,0.227012987012987
run,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
zip,0.031055900621118012,0.9658385093167702,0.0,0.0,0.003105590062111801
non,0.4878048780487805,0.24390243902439024,0.0975609756097561,0.0,0.17073170731707318
eat,0.0,0.0273972602739726,0.1095890410958904,0.0136986301369863,0.8493150684931506
bug,0.05405405405405406,0.0,0.02702702702702703,0.0,0.918918918918919
hod,0.019169329073482427,0.9744408945686901,0.0,0.0,0.006389776357827476
tiv,0.0,0.3629489603024575,0.5992438563327032,0.030245746691871456,0.007561436672967864
pad,0.7548387096774194,0.0,0.0,0.0,0.24516129032258063
gne,0.007478632478632479,0.9925213675213675,0.0,0.0,0.0
taß,0.0,0.0,1.0,0.0,0.0
gwe,0.0,1.0,0.0,0.0,0.0
ead,0.0045662100456621,0.0,0.0,0.2853881278538813,0.7100456621004566
rom,0.11290322580645161,0.3225806451612903,0.5591397849462365,0.0,0.005376344086021506
agn,0.0034904013961605585,0.9965095986038395,0.0,0.0,0.0
ita,0.09523809523809523,0.7142857142857143,0.0,0.0,0.19047619047619047
sol,0.0,0.29133858267716534,0.7086614173228346,0.0,0.0
era,0.08522727272727272,0.001893939393939394,0.0,0.0,0.9128787878787878
äll,0.0,0.31568228105906315,0.6843177189409368,0.0,0.0
mpy,1.0,0.0,0.0,0.0,0.0
nsi,0.0,1.0,0.0,0.0,0.0
sie,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
ups,1.0,0.0,0.0,0.0,0.0
erb,0.012121212121212121,0.4727272727272727,0.49696969696969695,0.0,0.01818181818181818
wil,1.0,0.0,0.0,0.0,0.0
rüß,0.0,0.0,1.0,0.0,0.0
anc,0.22580645161290322,0.7096774193548387,0.0,0.0,0.06451612903225806
ehr,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.0,0.0
pel,0.43342776203966005,0.5127478753541076,0.0113314447592068,0.0,0.042492917847025496
rus,0.18604651162790697,0.8023255813953488,0.011627906976744186,0.0,0.0
pud,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
zen,0.9303964757709251,0.05462555066079295,0.014096916299559472,0.0,0.000881057268722467
uck,0.020618556701030927,0.11082474226804123,0.5824742268041238,0.015463917525773196,0.2706185567010309
aod,0.0,0.0,0.0,1.0,0.0
tal,0.05504587155963303,0.44036697247706424,0.46559633027522934,0.027522935779816515,0.011467889908256881
üch,0.0,0.2558139534883721,0.686046511627907,0.05813953488372093,0.0
uez,1.0,0.0,0.0,0.0,0.0
zei,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0
lit,0.0625,0.8671875,0.0390625,0.0,0.03125
typ,0.016129032258064516,0.9818548387096774,0.0,0.0,0.0020161290322580645
met,0.2702702702702703,0.32432432432432434,0.0,0.10810810810810811,0.2972972972972973
mus,0.035398230088495575,0.9616519174041298,0.0029498525073746312,0.0,0.0
nks,1.0,0.0,0.0,0.0,0.0
but,0.014705882352941176,0.4632352941176471,0.5147058823529411,0.0,0.007352941176470588
sis,0.9583333333333334,0.041666666666666664,0.0,0.0,0.0
pol,0.16129032258064516,0.16129032258064516,0.6774193548387096,0.0,0.0
bus,0.05,0.24,0.71,0.0,0.0
äde,0.0,0.9968847352024922,0.0,0.003115264797507788,0.0
nve,0.0,0.0,0.0,1.0,0.0
änk,0.0,0.3081395348837209,0.689922480620155,0.0,0.001937984496124031
tos,1.0,0.0,0.0,0.0,0.0
bei,1.0,0.0,0.0,0.0,0.0
ews,1.0,0.0,0.0,0.0,0.0
erl,0.13333333333333333,0.5,0.36666666666666664,0.0,0.0
ald,0.004629629629629629,0.4166666666666667,0.0,0.5787037037037037,0.0
lze,0.5909090909090909,0.4090909090909091,0.0,0.0,0.0
eft,0.12,0.24,0.64,0.0,0.0
rys,1.0,0.0,0.0,0.0,0.0
ngo,0.6521739130434783,0.021739130434782608,0.0,0.0,0.32608695652173914
oob,0.5,0.0,0.0,0.0,0.5
opf,0.017412935323383085,0.3756218905472637,0.6069651741293532,0.0,0.0
fit,0.022556390977443608,0.03759398496240601,0.14285714285714285,0.0,0.7969924812030075
bst,0.033707865168539325,0.8764044943820225,0.0898876404494382,0.0,0.0
als,0.9767441860465116,0.011627906976744186,0.011627906976744186,0.0,0.0
gle,0.056179775280898875,0.011235955056179775,0.0,0.0,0.9325842696629213
ads,1.0,0.0,0.0,0.0,0.0
lio,0.014598540145985401,0.014598540145985401,0.0,0.0,0.9708029197080292
kes,1.0,0.0,0.0,0.0,0.0
kle,0.2328767123287671,0.7602739726027398,0.0,0.00684931506849315,0.0
bla,0.0,1.0,0.0,0.0,0.0
ehm,0.0,0.9981024667931688,0.0,0.0018975332068311196,0.0
not,0.0,0.7193675889328063,0.21739130434782608,0.0,0.06324110671936758
eos,1.0,0.0,0.0,0.0,0.0
roß,0.0,0.19186046511627908,0.7965116279069767,0.0,0.011627906976744186
enn,0.014534883720930232,0.9418604651162791,0.03197674418604651,0.005813953488372093,0.005813953488372093
eße,0.3958333333333333,0.6041666666666666,0.0,0.0,0.0
ama,0.04878048780487805,0.9512195121951219,0.0,0.0,0.0
get,0.03167420814479638,0.0022624434389140274,0.0,0.0,0.9660633484162896
pot,0.1680327868852459,0.004098360655737705,0.0,0.0,0.8278688524590164
laß,0.0,0.5163934426229508,0.4672131147540984,0.0,0.01639344262295082
nig,0.04195804195804196,0.4755244755244755,0.4755244755244755,0.0,0.006993006993006993
pyl,0.0,1.0,0.0,0.0,0.0
tre,0.03260869565217391,0.9347826086956522,0.0,0.0,0.03260869565217391
zzi,0.0,0.0,0.0,0.0,1.0
riß,0.0,0.0,1.0,0.0,0.0
räg,0.0,0.997920997920998,0.002079002079002079,0.0,0.0
lys,0.0,1.0,0.0,0.0,0.0
mon,0.07627118644067797,0.5084745762711864,0.3983050847457627,0.0,0.01694915254237288
dfs,1.0,0.0,0.0,0.0,0.0
löt,0.0,1.0,0.0,0.0,0.0
ili,0.04040404040404041,0.9191919191919192,0.0,0.0,0.04040404040404041
oad,0.054187192118226604,0.0,0.0,0.007389162561576354,0.9384236453201971
rig,0.0,0.7916666666666666,0.19166666666666668,0.008333333333333333,0.008333333333333333
903,1.0,0.0,0.0,0.0,0.0
tom,0.0069767441860465115,0.07209302325581396,0.9186046511627907,0.0,0.002325581395348837
lte,0.36184971098265895,0.6265895953757226,0.011560693641618497,0.0,0.0
aun,0.018518518518518517,0.9629629629629629,0.0,0.018518518518518517,0.0
füg,0.0,0.9874213836477987,0.012578616352201259,0.0,0.0
nut,0.0,0.72,0.02,0.0,0.26
hos,0.09333333333333334,0.84,0.06666666666666667,0.0,0.0
lke,0.05027932960893855,0.9497206703910615,0.0,0.0,0.0
kid,0.03125,0.0,0.0,0.0,0.96875
üge,0.4217687074829932,0.5782312925170068,0.0,0.0,0.0
urm,0.019230769230769232,0.07692307692307693,0.9038461538461539,0.0,0.0
job,0.00946372239747634,0.0,0.0,0.0,0.9905362776025236
fuß,0.06666666666666667,0.3404761904761905,0.5928571428571429,0.0,0.0
nnt,0.013513513513513514,0.7027027027027027,0.2702702702702703,0.0,0.013513513513513514
tin,0.026022304832713755,0.758364312267658,0.21189591078066913,0.0,0.0037174721189591076
ede,0.24705882352941178,0.7294117647058823,0.0,0.023529411764705882,0.0
rne,0.7108433734939759,0.2891566265060241,0.0,0.0,0.0
ski,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216
fka,1.0,0.0,0.0,0.0,0.0
gst,0.0594059405940594,0.31683168316831684,0.6237623762376238,0.0,0.0
här,0.0,0.06832298136645963,0.9316770186335404,0.0,0.0
lär,0.0,0.25,0.5625,0.1875,0.0
arm,0.026455026455026454,0.2037037037037037,0.7645502645502645,0.0,0.005291005291005291
hal,0.024193548387096774,0.49193548387096775,0.3951612903225806,0.0,0.08870967741935484
nee,0.0,0.47619047619047616,0.0,0.0,0.5238095238095238
lat,0.014285714285714285,0.2,0.5214285714285715,0.0,0.2642857142857143
fon,0.0026666666666666666,0.488,0.5066666666666667,0.0,0.0026666666666666666
eim,0.045454545454545456,0.18181818181818182,0.7727272727272727,0.0,0.0
ils,0.989247311827957,0.0,0.010752688172043012,0.0,0.0
dit,0.002617801047120419,0.27225130890052357,0.5680628272251309,0.0,0.15706806282722513
hma,0.0,1.0,0.0,0.0,0.0
bby,0.0,0.0,0.0,0.0,1.0
xer,0.8709677419354839,0.12903225806451613,0.0,0.0,0.0
kan,0.0,0.5,0.29411764705882354,0.0,0.20588235294117646
vix,1.0,0.0,0.0,0.0,0.0
bud,0.0,0.2,0.0,0.0,0.8
lst,0.7898550724637681,0.18840579710144928,0.021739130434782608,0.0,0.0
iße,0.32608695652173914,0.6739130434782609,0.0,0.0,0.0
rme,0.1694915254237288,0.8115653040877367,0.0,0.0,0.018943170488534396
vds,1.0,0.0,0.0,0.0,0.0
ali,0.0,0.972972972972973,0.005405405405405406,0.0,0.021621621621621623
nft,0.012448132780082987,0.27800829875518673,0.7095435684647303,0.0,0.0
une,0.0703125,0.9296875,0.0,0.0,0.0
ket,0.011111111111111112,0.19401709401709402,0.1675213675213675,0.0017094017094017094,0.6256410256410256
lüg,0.0,0.9881656804733728,0.011834319526627219,0.0,0.0
ätz,0.0,0.6198630136986302,0.3801369863013699,0.0,0.0
tex,1.0,0.0,0.0,0.0,0.0
uni,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
käf,0.0,1.0,0.0,0.0,0.0
els,0.22448979591836735,0.7755102040816326,0.0,0.0,0.0
lne,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
tut,0.0,0.3181818181818182,0.6761363636363636,0.0,0.005681818181818182
tio,0.005089058524173028,0.9923664122137404,0.0,0.0,0.002544529262086514
pal,1.0,0.0,0.0,0.0,0.0
upt,0.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285
